forecast_date,product_id,product_name,category,predicted_units,reorder_flag
2025-02-16,PRD001,Wireless Headphones,Electronics,6.1,0
2025-02-17,PRD001,Wireless Headphones,Electronics,5.5,0
2025-02-18,PRD001,Wireless Headphones,Electronics,5.6,0
2025-02-19,PRD001,Wireless Headphones,Electronics,5.6,0
2025-02-20,PRD001,Wireless Headphones,Electronics,5.8,0
2025-02-21,PRD001,Wireless Headphones,Electronics,5.9,0
2025-02-22,PRD001,Wireless Headphones,Electronics,6.1,0
2025-02-23,PRD001,Wireless Headphones,Electronics,6.1,0
2025-02-24,PRD001,Wireless Headphones,Electronics,5.7,0
2025-02-25,PRD001,Wireless Headphones,Electronics,5.8,0
2025-02-26,PRD001,Wireless Headphones,Electronics,5.8,0
2025-02-27,PRD001,Wireless Headphones,Electronics,5.9,0
2025-02-28,PRD001,Wireless Headphones,Electronics,6.0,0
2025-03-01,PRD001,Wireless Headphones,Electronics,7.5,0
2025-03-02,PRD001,Wireless Headphones,Electronics,7.5,0
2025-03-03,PRD001,Wireless Headphones,Electronics,7.2,0
2025-03-04,PRD001,Wireless Headphones,Electronics,7.3,0
2025-03-05,PRD001,Wireless Headphones,Electronics,7.3,0
2025-03-06,PRD001,Wireless Headphones,Electronics,7.3,0
2025-03-07,PRD001,Wireless Headphones,Electronics,7.5,0
2025-03-08,PRD001,Wireless Headphones,Electronics,7.7,0
2025-03-09,PRD001,Wireless Headphones,Electronics,7.8,0
2025-03-10,PRD001,Wireless Headphones,Electronics,7.6,0
2025-03-11,PRD001,Wireless Headphones,Electronics,7.6,0
2025-03-12,PRD001,Wireless Headphones,Electronics,7.6,0
2025-03-13,PRD001,Wireless Headphones,Electronics,7.7,0
2025-03-14,PRD001,Wireless Headphones,Electronics,7.9,0
2025-03-15,PRD001,Wireless Headphones,Electronics,8.1,0
2025-03-16,PRD001,Wireless Headphones,Electronics,8.1,0
2025-03-17,PRD001,Wireless Headphones,Electronics,8.0,0
2025-03-18,PRD001,Wireless Headphones,Electronics,8.0,0
2025-03-19,PRD001,Wireless Headphones,Electronics,8.0,0
2025-03-20,PRD001,Wireless Headphones,Electronics,8.0,0
2025-03-21,PRD001,Wireless Headphones,Electronics,8.2,0
2025-03-22,PRD001,Wireless Headphones,Electronics,8.4,0
2025-03-23,PRD001,Wireless Headphones,Electronics,8.5,0
2025-03-24,PRD001,Wireless Headphones,Electronics,8.0,0
2025-03-25,PRD001,Wireless Headphones,Electronics,8.1,0
2025-03-26,PRD001,Wireless Headphones,Electronics,8.1,0
2025-03-27,PRD001,Wireless Headphones,Electronics,8.1,0
2025-03-28,PRD001,Wireless Headphones,Electronics,8.2,0
2025-03-29,PRD001,Wireless Headphones,Electronics,8.4,0
2025-03-30,PRD001,Wireless Headphones,Electronics,8.5,0
2025-03-31,PRD001,Wireless Headphones,Electronics,9.8,0
2025-01-01,PRD002,Smart Watch,Apparel,11.2,0
2025-01-02,PRD002,Smart Watch,Apparel,11.4,0
2025-01-03,PRD002,Smart Watch,Apparel,11.3,0
2025-01-04,PRD002,Smart Watch,Apparel,10.8,0
2025-01-05,PRD002,Smart Watch,Apparel,10.8,0
2025-01-06,PRD002,Smart Watch,Apparel,11.2,0
2025-01-07,PRD002,Smart Watch,Apparel,11.3,0
2025-01-08,PRD002,Smart Watch,Apparel,11.2,0
2025-01-09,PRD002,Smart Watch,Apparel,11.4,0
2025-01-10,PRD002,Smart Watch,Apparel,11.3,0
2025-01-11,PRD002,Smart Watch,Apparel,10.8,0
2025-01-12,PRD002,Smart Watch,Apparel,10.8,0
2025-01-13,PRD002,Smart Watch,Apparel,11.9,0
2025-01-14,PRD002,Smart Watch,Apparel,12.0,0
2025-01-15,PRD002,Smart Watch,Apparel,11.9,0
2025-01-16,PRD002,Smart Watch,Apparel,12.1,0
2025-01-17,PRD002,Smart Watch,Apparel,12.0,0
2025-01-18,PRD002,Smart Watch,Apparel,11.5,0
2025-01-19,PRD002,Smart Watch,Apparel,11.5,0
2025-01-20,PRD002,Smart Watch,Apparel,12.2,0
2025-01-21,PRD002,Smart Watch,Apparel,12.3,0
2025-01-22,PRD002,Smart Watch,Apparel,12.3,0
2025-01-23,PRD002,Smart Watch,Apparel,12.4,0
2025-01-24,PRD002,Smart Watch,Apparel,12.4,0
2025-01-25,PRD002,Smart Watch,Apparel,11.9,0
2025-01-26,PRD002,Smart Watch,Apparel,11.9,0
2025-01-27,PRD002,Smart Watch,Apparel,12.3,0
2025-01-28,PRD002,Smart Watch,Apparel,12.4,0
2025-01-29,PRD002,Smart Watch,Apparel,12.4,0
2025-01-30,PRD002,Smart Watch,Apparel,12.5,0
2025-01-31,PRD002,Smart Watch,Apparel,12.4,0
2025-02-01,PRD002,Smart Watch,Apparel,11.9,0
2025-02-02,PRD002,Smart Watch,Apparel,11.9,0
2025-02-03,PRD002,Smart Watch,Apparel,12.3,0
2025-02-04,PRD002,Smart Watch,Apparel,12.4,0
2025-02-05,PRD002,Smart Watch,Apparel,12.4,0
2025-02-06,PRD002,Smart Watch,Apparel,12.5,0
2025-02-07,PRD002,Smart Watch,Apparel,12.4,0
2025-02-08,PRD002,Smart Watch,Apparel,11.9,0
2025-02-09,PRD002,Smart Watch,Apparel,11.9,0
2025-02-10,PRD002,Smart Watch,Apparel,12.4,0
2025-02-11,PRD002,Smart Watch,Apparel,12.5,0
2025-02-12,PRD002,Smart Watch,Apparel,12.4,0
2025-02-13,PRD002,Smart Watch,Apparel,12.6,0
2025-02-14,PRD002,Smart Watch,Apparel,12.5,0
2025-02-15,PRD002,Smart Watch,Apparel,12.0,0
2025-02-16,PRD002,Smart Watch,Apparel,12.0,0
2025-02-17,PRD002,Smart Watch,Apparel,12.8,0
2025-02-18,PRD002,Smart Watch,Apparel,12.8,0
2025-02-19,PRD002,Smart Watch,Apparel,12.8,0
2025-02-20,PRD002,Smart Watch,Apparel,12.9,0
2025-02-21,PRD002,Smart Watch,Apparel,12.9,0
2025-02-22,PRD002,Smart Watch,Apparel,12.4,0
2025-02-23,PRD002,Smart Watch,Apparel,12.4,0
2025-02-24,PRD002,Smart Watch,Apparel,12.8,0
2025-02-25,PRD002,Smart Watch,Apparel,12.8,0
2025-02-26,PRD002,Smart Watch,Apparel,12.8,0
2025-02-27,PRD002,Smart Watch,Apparel,12.9,0
2025-02-28,PRD002,Smart Watch,Apparel,12.9,0
2025-03-01,PRD002,Smart Watch,Apparel,15.3,0
2025-03-02,PRD002,Smart Watch,Apparel,15.4,0
2025-03-03,PRD002,Smart Watch,Apparel,16.8,0
2025-03-04,PRD002,Smart Watch,Apparel,16.6,0
2025-03-05,PRD002,Smart Watch,Apparel,16.4,0
2025-03-06,PRD002,Smart Watch,Apparel,16.1,0
2025-03-07,PRD002,Smart Watch,Apparel,16.1,0
2025-03-08,PRD002,Smart Watch,Apparel,16.6,0
2025-03-09,PRD002,Smart Watch,Apparel,16.6,0
2025-03-10,PRD002,Smart Watch,Apparel,17.2,0
2025-03-11,PRD002,Smart Watch,Apparel,17.0,0
2025-03-12,PRD002,Smart Watch,Apparel,16.9,0
2025-03-13,PRD002,Smart Watch,Apparel,16.5,0
2025-03-14,PRD002,Smart Watch,Apparel,16.5,0
2025-03-15,PRD002,Smart Watch,Apparel,17.0,0
2025-03-16,PRD002,Smart Watch,Apparel,16.8,0
2025-03-17,PRD002,Smart Watch,Apparel,17.6,0
2025-03-18,PRD002,Smart Watch,Apparel,17.3,0
2025-03-19,PRD002,Smart Watch,Apparel,17.3,0
2025-03-20,PRD002,Smart Watch,Apparel,16.9,0
2025-03-21,PRD002,Smart Watch,Apparel,16.9,0
2025-03-22,PRD002,Smart Watch,Apparel,17.6,0
2025-03-23,PRD002,Smart Watch,Apparel,17.4,0
2025-03-24,PRD002,Smart Watch,Apparel,17.8,0
2025-03-25,PRD002,Smart Watch,Apparel,17.5,0
2025-03-26,PRD002,Smart Watch,Apparel,17.5,0
2025-03-27,PRD002,Smart Watch,Apparel,17.2,0
2025-03-28,PRD002,Smart Watch,Apparel,17.2,0
2025-03-29,PRD002,Smart Watch,Apparel,17.9,0
2025-03-30,PRD002,Smart Watch,Apparel,17.7,0
2025-03-31,PRD002,Smart Watch,Apparel,18.1,0
2025-01-01,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-02,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-03,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-04,PRD003,Portable Charger,Home & Kitchen,2.9,0
2025-01-05,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-06,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-07,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-08,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-09,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-10,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-11,PRD003,Portable Charger,Home & Kitchen,2.9,0
2025-01-12,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-13,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-14,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-15,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-16,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-17,PRD003,Portable Charger,Home & Kitchen,2.7,0
2025-01-18,PRD003,Portable Charger,Home & Kitchen,2.9,0
2025-01-19,PRD003,Portable Charger,Home & Kitchen,2.9,0
2025-01-20,PRD003,Portable Charger,Home & Kitchen,2.8,0
2025-01-21,PRD003,Portable Charger,Home & Kitchen,2.8,0
2025-01-22,PRD003,Portable Charger,Home & Kitchen,2.8,0
2025-01-23,PRD003,Portable Charger,Home & Kitchen,2.8,0
2025-01-24,PRD003,Portable Charger,Home & Kitchen,2.8,0
2025-01-25,PRD003,Portable Charger,Home & Kitchen,2.9,0
2025-01-26,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-27,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-28,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-29,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-30,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-01-31,PRD003,Portable Charger,Home & Kitchen,3.0,0
2025-02-01,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-02,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-03,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-04,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-05,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-06,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-07,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-08,PRD003,Portable Charger,Home & Kitchen,3.4,0
2025-02-09,PRD003,Portable Charger,Home & Kitchen,3.4,0
2025-02-10,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-11,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-12,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-13,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-14,PRD003,Portable Charger,Home & Kitchen,3.3,0
2025-02-15,PRD003,Portable Charger,Home & Kitchen,3.4,0
2025-02-16,PRD003,Portable Charger,Home & Kitchen,3.4,0
2025-02-17,PRD003,Portable Charger,Home & Kitchen,3.6,0
2025-02-18,PRD003,Portable Charger,Home & Kitchen,3.5,0
2025-02-19,PRD003,Portable Charger,Home & Kitchen,3.5,0
2025-02-20,PRD003,Portable Charger,Home & Kitchen,3.6,0
2025-02-21,PRD003,Portable Charger,Home & Kitchen,3.6,0
2025-02-22,PRD003,Portable Charger,Home & Kitchen,3.7,0
2025-02-23,PRD003,Portable Charger,Home & Kitchen,3.7,0
2025-02-24,PRD003,Portable Charger,Home & Kitchen,3.9,0
2025-02-25,PRD003,Portable Charger,Home & Kitchen,3.8,0
2025-02-26,PRD003,Portable Charger,Home & Kitchen,3.8,0
2025-02-27,PRD003,Portable Charger,Home & Kitchen,3.8,0
2025-02-28,PRD003,Portable Charger,Home & Kitchen,3.9,0
2025-03-01,PRD003,Portable Charger,Home & Kitchen,6.6,0
2025-03-02,PRD003,Portable Charger,Home & Kitchen,6.6,0
2025-03-03,PRD003,Portable Charger,Home & Kitchen,7.5,0
2025-03-04,PRD003,Portable Charger,Home & Kitchen,7.4,0
2025-03-05,PRD003,Portable Charger,Home & Kitchen,7.4,0
2025-03-06,PRD003,Portable Charger,Home & Kitchen,7.6,0
2025-03-07,PRD003,Portable Charger,Home & Kitchen,7.6,0
2025-03-08,PRD003,Portable Charger,Home & Kitchen,7.6,0
2025-03-09,PRD003,Portable Charger,Home & Kitchen,7.6,0
2025-03-10,PRD003,Portable Charger,Home & Kitchen,7.8,0
2025-03-11,PRD003,Portable Charger,Home & Kitchen,7.7,0
2025-03-12,PRD003,Portable Charger,Home & Kitchen,7.7,0
2025-03-13,PRD003,Portable Charger,Home & Kitchen,7.9,0
2025-03-14,PRD003,Portable Charger,Home & Kitchen,8.1,0
2025-03-15,PRD003,Portable Charger,Home & Kitchen,8.1,0
2025-03-16,PRD003,Portable Charger,Home & Kitchen,8.1,0
2025-03-17,PRD003,Portable Charger,Home & Kitchen,8.6,0
2025-03-18,PRD003,Portable Charger,Home & Kitchen,8.5,0
2025-03-19,PRD003,Portable Charger,Home & Kitchen,8.4,0
2025-03-20,PRD003,Portable Charger,Home & Kitchen,8.6,0
2025-03-21,PRD003,Portable Charger,Home & Kitchen,8.7,0
2025-03-22,PRD003,Portable Charger,Home & Kitchen,8.8,0
2025-03-23,PRD003,Portable Charger,Home & Kitchen,8.8,0
2025-03-24,PRD003,Portable Charger,Home & Kitchen,8.9,0
2025-03-25,PRD003,Portable Charger,Home & Kitchen,8.8,0
2025-03-26,PRD003,Portable Charger,Home & Kitchen,8.7,0
2025-03-27,PRD003,Portable Charger,Home & Kitchen,8.9,0
2025-03-28,PRD003,Portable Charger,Home & Kitchen,9.0,0
2025-03-29,PRD003,Portable Charger,Home & Kitchen,9.1,0
2025-03-30,PRD003,Portable Charger,Home & Kitchen,9.1,0
2025-03-31,PRD003,Portable Charger,Home & Kitchen,9.0,0
2025-01-01,PRD004,Bluetooth Speaker,Sports,10.8,0
2025-01-02,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-03,PRD004,Bluetooth Speaker,Sports,10.7,0
2025-01-04,PRD004,Bluetooth Speaker,Sports,10.5,0
2025-01-05,PRD004,Bluetooth Speaker,Sports,10.4,0
2025-01-06,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-07,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-08,PRD004,Bluetooth Speaker,Sports,10.8,0
2025-01-09,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-10,PRD004,Bluetooth Speaker,Sports,10.7,0
2025-01-11,PRD004,Bluetooth Speaker,Sports,10.5,0
2025-01-12,PRD004,Bluetooth Speaker,Sports,10.4,0
2025-01-13,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-14,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-15,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-16,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-17,PRD004,Bluetooth Speaker,Sports,10.9,0
2025-01-18,PRD004,Bluetooth Speaker,Sports,10.7,0
2025-01-19,PRD004,Bluetooth Speaker,Sports,10.6,0
2025-01-20,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-21,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-22,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-23,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-24,PRD004,Bluetooth Speaker,Sports,10.9,0
2025-01-25,PRD004,Bluetooth Speaker,Sports,10.7,0
2025-01-26,PRD004,Bluetooth Speaker,Sports,10.6,0
2025-01-27,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-28,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-29,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-01-30,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-01-31,PRD004,Bluetooth Speaker,Sports,10.9,0
2025-02-01,PRD004,Bluetooth Speaker,Sports,10.8,0
2025-02-02,PRD004,Bluetooth Speaker,Sports,10.7,0
2025-02-03,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-02-04,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-02-05,PRD004,Bluetooth Speaker,Sports,11.0,0
2025-02-06,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-02-07,PRD004,Bluetooth Speaker,Sports,10.9,0
2025-02-08,PRD004,Bluetooth Speaker,Sports,10.8,0
2025-02-09,PRD004,Bluetooth Speaker,Sports,10.7,0
2025-02-10,PRD004,Bluetooth Speaker,Sports,11.5,0
2025-02-11,PRD004,Bluetooth Speaker,Sports,11.5,0
2025-02-12,PRD004,Bluetooth Speaker,Sports,11.3,0
2025-02-13,PRD004,Bluetooth Speaker,Sports,11.5,0
2025-02-14,PRD004,Bluetooth Speaker,Sports,11.2,0
2025-02-15,PRD004,Bluetooth Speaker,Sports,11.1,0
2025-02-16,PRD004,Bluetooth Speaker,Sports,10.9,0
2025-02-17,PRD004,Bluetooth Speaker,Sports,11.9,0
2025-02-18,PRD004,Bluetooth Speaker,Sports,12.0,0
2025-02-19,PRD004,Bluetooth Speaker,Sports,11.8,0
2025-02-20,PRD004,Bluetooth Speaker,Sports,11.9,0
2025-02-21,PRD004,Bluetooth Speaker,Sports,11.7,0
2025-02-22,PRD004,Bluetooth Speaker,Sports,11.5,0
2025-02-23,PRD004,Bluetooth Speaker,Sports,11.4,0
2025-02-24,PRD004,Bluetooth Speaker,Sports,11.9,0
2025-02-25,PRD004,Bluetooth Speaker,Sports,12.0,0
2025-02-26,PRD004,Bluetooth Speaker,Sports,11.8,0
2025-02-27,PRD004,Bluetooth Speaker,Sports,11.9,0
2025-02-28,PRD004,Bluetooth Speaker,Sports,11.7,0
2025-03-01,PRD004,Bluetooth Speaker,Sports,14.8,0
2025-03-02,PRD004,Bluetooth Speaker,Sports,14.8,0
2025-03-03,PRD004,Bluetooth Speaker,Sports,16.4,0
2025-03-04,PRD004,Bluetooth Speaker,Sports,16.6,0
2025-03-05,PRD004,Bluetooth Speaker,Sports,16.3,0
2025-03-06,PRD004,Bluetooth Speaker,Sports,15.9,0
2025-03-07,PRD004,Bluetooth Speaker,Sports,16.0,0
2025-03-08,PRD004,Bluetooth Speaker,Sports,16.1,0
2025-03-09,PRD004,Bluetooth Speaker,Sports,16.2,0
2025-03-10,PRD004,Bluetooth Speaker,Sports,17.0,0
2025-03-11,PRD004,Bluetooth Speaker,Sports,17.1,0
2025-03-12,PRD004,Bluetooth Speaker,Sports,16.9,0
2025-03-13,PRD004,Bluetooth Speaker,Sports,16.5,0
2025-03-14,PRD004,Bluetooth Speaker,Sports,16.5,0
2025-03-15,PRD004,Bluetooth Speaker,Sports,16.7,0
2025-03-16,PRD004,Bluetooth Speaker,Sports,16.7,0
2025-03-17,PRD004,Bluetooth Speaker,Sports,17.4,0
2025-03-18,PRD004,Bluetooth Speaker,Sports,17.5,0
2025-03-19,PRD004,Bluetooth Speaker,Sports,17.3,0
2025-03-20,PRD004,Bluetooth Speaker,Sports,17.0,0
2025-03-21,PRD004,Bluetooth Speaker,Sports,17.0,0
2025-03-22,PRD004,Bluetooth Speaker,Sports,17.3,0
2025-03-23,PRD004,Bluetooth Speaker,Sports,17.3,0
2025-03-24,PRD004,Bluetooth Speaker,Sports,17.6,0
2025-03-25,PRD004,Bluetooth Speaker,Sports,17.7,0
2025-03-26,PRD004,Bluetooth Speaker,Sports,17.6,0
2025-03-27,PRD004,Bluetooth Speaker,Sports,17.3,0
2025-03-28,PRD004,Bluetooth Speaker,Sports,17.3,0
2025-03-29,PRD004,Bluetooth Speaker,Sports,17.6,0
2025-03-30,PRD004,Bluetooth Speaker,Sports,17.6,0
2025-03-31,PRD004,Bluetooth Speaker,Sports,18.0,0
2025-01-01,PRD005,USB-C Hub,Toys,10.3,0
2025-01-02,PRD005,USB-C Hub,Toys,10.6,0
2025-01-03,PRD005,USB-C Hub,Toys,10.6,0
2025-01-04,PRD005,USB-C Hub,Toys,10.2,0
2025-01-05,PRD005,USB-C Hub,Toys,10.3,0
2025-01-06,PRD005,USB-C Hub,Toys,10.4,0
2025-01-07,PRD005,USB-C Hub,Toys,10.4,0
2025-01-08,PRD005,USB-C Hub,Toys,10.3,0
2025-01-09,PRD005,USB-C Hub,Toys,10.6,0
2025-01-10,PRD005,USB-C Hub,Toys,10.6,0
2025-01-11,PRD005,USB-C Hub,Toys,10.2,0
2025-01-12,PRD005,USB-C Hub,Toys,10.3,0
2025-01-13,PRD005,USB-C Hub,Toys,10.6,0
2025-01-14,PRD005,USB-C Hub,Toys,10.6,0
2025-01-15,PRD005,USB-C Hub,Toys,10.5,0
2025-01-16,PRD005,USB-C Hub,Toys,10.8,0
2025-01-17,PRD005,USB-C Hub,Toys,10.8,0
2025-01-18,PRD005,USB-C Hub,Toys,10.5,0
2025-01-19,PRD005,USB-C Hub,Toys,10.6,0
2025-01-20,PRD005,USB-C Hub,Toys,10.5,0
2025-01-21,PRD005,USB-C Hub,Toys,10.6,0
2025-01-22,PRD005,USB-C Hub,Toys,10.4,0
2025-01-23,PRD005,USB-C Hub,Toys,10.7,0
2025-01-24,PRD005,USB-C Hub,Toys,10.8,0
2025-01-25,PRD005,USB-C Hub,Toys,10.4,0
2025-01-26,PRD005,USB-C Hub,Toys,10.5,0
2025-01-27,PRD005,USB-C Hub,Toys,10.6,0
2025-01-28,PRD005,USB-C Hub,Toys,10.7,0
2025-01-29,PRD005,USB-C Hub,Toys,10.5,0
2025-01-30,PRD005,USB-C Hub,Toys,10.8,0
2025-01-31,PRD005,USB-C Hub,Toys,10.9,0
2025-02-01,PRD005,USB-C Hub,Toys,10.5,0
2025-02-02,PRD005,USB-C Hub,Toys,10.6,0
2025-02-03,PRD005,USB-C Hub,Toys,10.6,0
2025-02-04,PRD005,USB-C Hub,Toys,10.7,0
2025-02-05,PRD005,USB-C Hub,Toys,10.5,0
2025-02-06,PRD005,USB-C Hub,Toys,10.8,0
2025-02-07,PRD005,USB-C Hub,Toys,10.9,0
2025-02-08,PRD005,USB-C Hub,Toys,10.5,0
2025-02-09,PRD005,USB-C Hub,Toys,10.6,0
2025-02-10,PRD005,USB-C Hub,Toys,10.6,0
2025-02-11,PRD005,USB-C Hub,Toys,10.6,0
2025-02-12,PRD005,USB-C Hub,Toys,10.5,0
2025-02-13,PRD005,USB-C Hub,Toys,10.8,0
2025-02-14,PRD005,USB-C Hub,Toys,10.9,0
2025-02-15,PRD005,USB-C Hub,Toys,10.5,0
2025-02-16,PRD005,USB-C Hub,Toys,10.6,0
2025-02-17,PRD005,USB-C Hub,Toys,10.7,0
2025-02-18,PRD005,USB-C Hub,Toys,10.7,0
2025-02-19,PRD005,USB-C Hub,Toys,10.6,0
2025-02-20,PRD005,USB-C Hub,Toys,10.9,0
2025-02-21,PRD005,USB-C Hub,Toys,10.9,0
2025-02-22,PRD005,USB-C Hub,Toys,10.6,0
2025-02-23,PRD005,USB-C Hub,Toys,10.7,0
2025-02-24,PRD005,USB-C Hub,Toys,10.7,0
2025-02-25,PRD005,USB-C Hub,Toys,10.7,0
2025-02-26,PRD005,USB-C Hub,Toys,10.7,0
2025-02-27,PRD005,USB-C Hub,Toys,10.9,0
2025-02-28,PRD005,USB-C Hub,Toys,11.0,0
2025-03-01,PRD005,USB-C Hub,Toys,15.3,0
2025-03-02,PRD005,USB-C Hub,Toys,15.4,0
2025-03-03,PRD005,USB-C Hub,Toys,16.3,0
2025-03-04,PRD005,USB-C Hub,Toys,16.4,0
2025-03-05,PRD005,USB-C Hub,Toys,16.4,0
2025-03-06,PRD005,USB-C Hub,Toys,16.2,0
2025-03-07,PRD005,USB-C Hub,Toys,16.2,0
2025-03-08,PRD005,USB-C Hub,Toys,16.5,0
2025-03-09,PRD005,USB-C Hub,Toys,16.5,0
2025-03-10,PRD005,USB-C Hub,Toys,16.3,0
2025-03-11,PRD005,USB-C Hub,Toys,16.4,0
2025-03-12,PRD005,USB-C Hub,Toys,16.4,0
2025-03-13,PRD005,USB-C Hub,Toys,16.2,0
2025-03-14,PRD005,USB-C Hub,Toys,16.2,0
2025-03-15,PRD005,USB-C Hub,Toys,16.5,0
2025-03-16,PRD005,USB-C Hub,Toys,16.6,0
2025-03-17,PRD005,USB-C Hub,Toys,16.9,0
2025-03-18,PRD005,USB-C Hub,Toys,17.0,0
